contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,symbol,expiry,timestamp
AAPL251114C00252500,2025-11-07 20:59:58+00:00,252.5,16.3,15.9,16.75,-1.7000008,-9.444448,132.0,125,0.40381455566406255,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00255000,2025-11-07 20:59:24+00:00,255.0,13.82,13.6,14.05,-1.6000004,-10.376138,306.0,1090,0.3266668896484375,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00257500,2025-11-07 20:45:46+00:00,257.5,11.45,11.2,11.8,-1.79,-13.519637,334.0,230,0.3149482568359374,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00260000,2025-11-07 20:59:35+00:00,260.0,9.36,9.2,9.45,-1.4500008,-13.413513,1027.0,1843,0.28174546386718746,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00262500,2025-11-07 20:59:17+00:00,262.5,7.3,7.05,7.4,-1.4299994,-16.380291,893.0,644,0.2700268310546875,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00265000,2025-11-07 20:59:51+00:00,265.0,5.44,5.3,5.55,-1.5099998,-21.726616,4169.0,1981,0.2600171655273438,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00267500,2025-11-07 20:59:59+00:00,267.5,3.9,3.8,3.9,-1.3499999,-25.714285,7478.0,2582,0.2475661181640625,True,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00270000,2025-11-07 20:59:55+00:00,270.0,2.55,2.46,2.61,-1.25,-32.894737,21899.0,8522,0.24097438720703124,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00272500,2025-11-07 20:59:59+00:00,272.5,1.61,1.54,1.64,-1.09,-40.370373,16681.0,3302,0.23609162353515623,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00275000,2025-11-07 20:59:58+00:00,275.0,0.96,0.9,0.98,-0.83,-46.368713,24118.0,8730,0.23413851806640623,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00277500,2025-11-07 20:59:54+00:00,277.5,0.57,0.53,0.56,-0.59,-50.86207,6628.0,3697,0.23413851806640623,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00280000,2025-11-07 20:59:58+00:00,280.0,0.31,0.3,0.31,-0.45,-59.210526,16201.0,10002,0.23584748535156247,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00282500,2025-11-07 20:59:24+00:00,282.5,0.18,0.18,0.19,-0.29,-61.702126,2945.0,2017,0.24463645996093752,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00285000,2025-11-07 20:59:20+00:00,285.0,0.11,0.1,0.11,-0.17999999,-62.068962,3182.0,4164,0.25098405273437496,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00287500,2025-11-07 20:57:54+00:00,287.5,0.07,0.06,0.07,-0.11000001,-61.11111,3044.0,2347,0.2617261328125,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00290000,2025-11-07 20:59:32+00:00,290.0,0.04,0.04,0.05,-0.07,-63.636364,1196.0,2941,0.27539787109374997,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00292500,2025-11-07 20:58:17+00:00,292.5,0.03,0.02,0.04,-0.049999997,-62.5,620.0,1055,0.2929758203124999,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00295000,2025-11-07 20:58:27+00:00,295.0,0.02,0.01,0.02,-0.030000001,-60.000004,1002.0,1744,0.2929758203124999,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00297500,2025-11-07 20:58:09+00:00,297.5,0.01,0.01,0.03,-0.03,-75.0,248.0,612,0.33008482421874996,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00300000,2025-11-07 20:51:53+00:00,300.0,0.01,0.01,0.02,-0.01,-50.0,366.0,4328,0.335944140625,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00302500,2025-11-07 18:47:32+00:00,302.5,0.01,0.0,0.02,-0.01,-50.0,17.0,197,0.35938140625,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00305000,2025-11-07 20:12:54+00:00,305.0,0.01,0.0,0.02,0.0,0.0,6.0,803,0.38281867187499996,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00307500,2025-11-07 15:25:58+00:00,307.5,0.01,0.0,0.21,0.0,0.0,3.0,195,0.5498091894531252,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00310000,2025-11-07 17:31:04+00:00,310.0,0.01,0.0,0.01,0.0,0.0,26.0,1544,0.398443515625,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00312500,2025-11-04 20:26:58+00:00,312.5,0.02,0.0,0.01,0.0,0.0,1.0,18,0.414068359375,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00315000,2025-11-06 19:04:53+00:00,315.0,0.01,0.0,0.01,0.0,0.0,13.0,408,0.437505625,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00317500,2025-11-06 17:17:12+00:00,317.5,0.01,0.0,0.21,0.0,0.0,1.0,7,0.5918009570312501,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00320000,2025-11-04 18:24:54+00:00,320.0,0.01,0.0,0.14,-0.01,-50.0,3.0,1296,0.5839885351562499,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00322500,2025-11-04 15:00:36+00:00,322.5,0.02,0.0,0.21,0.0,0.0,2.0,26,0.63867548828125,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
